name,slug,description,author_id,genre_id,series_id,publisher_id,year_of_publication,page_count,isbn
Мёртвые души,myortvye-dushi,"Поэма Мертвые души еще при жизни автора была переведена на множество других языков. Она имела невероятный успех. Никому до Гоголя и после него не удавалось так ярко и остро описать пороки и слабости русского человека, так живо и правдиво отразить важнейшие для России проблемы. Прошло 160 лет, и поэма звучит как только что написанная. Чичиковы, Коробочки, Ноздревы, Плюшкины, Собакевичи — их стремления, чувства, поступки не кажутся нам отголосками прошлого. Современное и острое звучание эти персонажи обретают, когда мы смотрим все новые и новые спектакли и фильмы по этой бессмертной поэме.",4,4,2,2,2020,352,978-5-93673-123-4
Преступление и наказание,prestuplenie-i-nakazanie,"Преступление и наказание - высочайший образец криминального романа. В рамках жанра полицейского расследования писатель поставил вопросы, и по сей день не решенные. Кем должен быть человек: тварью дрожащей, как говорит Раскольников, или Наполеоном? И это проблема уже XXI века. Написанный в 1866 году роман Преступление и наказание до сих пор остается самой читаемой в мире книгой и входит в большинство школьных программ по литературе.",3,4,3,1,2020,592,978-5-93673-987-6
Мастер и Маргарита,master-i-margarita,"Чем же заворожила столь разных творческих личностей история о дьяволе и его свите, почтивших своим присутствием Москву 1930-х, о прокураторе Иудеи всаднике Понтии Пилате и нищем философе Иешуа Га-Ноцри, о талантливом и несчастном Мастере и его прекрасной и верной возлюбленной Маргарите?..",5,1,1,1,2024,480,978-5-93673-564-1
Анна Каренина,anna-karenina,"Анна Каренина — лучший роман о женщине, написанный в XIX веке. По словам Ф.М. Достоевского, Анна Каренина поразила современников не только вседневностью содержания, но и огромной психологической разработкой души человеческой, страшной глубиной и силой. Уже к началу 1900-х годов роман Толстого был переведен на многие языки мира, а в настоящее время входит в золотой фонд мировой литературы.",2,2,3,4,2013,864,978-5-93673-802-4
Евгений Онегин,evgenij-onegin,"Пронзительная любовная история, драматические повороты сюжета, тонкий психологизм персонажей, детальное описание быта и нравов той эпохи (не случайно Белинский назвал роман энциклопедией русской жизни) – в этом произведении, как в зеркале, отразилась вся русская жизнь. Евгений Онегин никогда не утратит своей актуальности, и даже спустя два века мы поражаемся точности и верности ума холодных наблюдений и сердца горестных замет великого русского поэта.",1,5,1,2,2023,144,978-5-93673-335-8
Война и мир,vojna-i-mir,"Роман Льва Николаевича Толстого Война и мир — книга на все времена. Кажется, что она существовала всегда, настолько знакомым кажется текст, едва мы открываем первые страницы романа, настолько памятны многие его эпизоды: охота и святки, первый бал Наташи Ростовой, лунная ночь в Отрадном, князь Андрей в сражении при Аустерлице... Сцены мирной, семейной жизни сменяются картинами, имеющими значение для хода всей мировой истории, но для Толстого они равноценны, связаны в едином потоке времени. Каждый эпизод важен не только для развития сюжета, но и как одно из бесчисленных проявлений жизни, которая насыщена в каждом своем моменте и которую учит любить Толстой.",2,4,2,4,2022,1472,978-5-93673-611-2
Братья Карамазовы,bratya-karamazovy,"Загадка, связанная со смертью и кражей, полная накала и страстей любовная история, разворачивающаяся на глазах читателя семейная драма, сложные психологические перипетии, множество вплетенных в основную канву других остросюжетных линий — все это вместилось в роман Братья Карамазовы, главной проблематикой которого является вопрос о Боге и бессмертии души. А в центре повествования, как всегда у Достоевского, — человек, терзаемый сомнениями, раздираемый страстями, жаждущий любви, власти, денег, мечущийся от добра ко злу и от зла к добру, ищущий свой путь, свою веру, своего Бога.",3,4,2,2,2021,992,978-5-93673-449-1
Ревизор,revizor,"Комедия Ревизор - вершина творчества Гоголя-драматурга, в пьесе соединены критика российской общественной жизни XIX века, сатирическое изображение русских характеров. Выбранные места из переписки с друзьями - духовное завещание Гоголя, главная тема которого - соотношение Церкви и культуры.",4,4,5,5,2022,352,978-5-93673-726-2
Идиот,idiot,"Князь Мышкин, главный герой знаменитого романа Ф. М. Достоевского Идиот, несет людям проповедь сострадания, прощения, милосердия и братства. Однако надежды его рушатся: становится убийцей крестный брат Рогожин, гибнет красота Настасья Филипповна... И все-таки без таких людей, как князь, мир не существует. Он только прикоснулся к их жизни, — пишет Достоевский. — Но где только он ни прикоснулся — везде он оставил неисследимую черту.",3,4,4,4,2019,640,978-5-93673-888-6
Собачье сердце,sobache-serdce,"«Собачье сердце» — одно их самых известных и запоминающихся произведений Михаила Булгакова. С неподражаемым сарказмом и юмором Булгаков описал небывалый рискованный эксперимент профессора Преображенского по превращению собаки в человека, создав великолепную пародию на парадоксальную обстановку Советской России 30-х годов. Жестокий опыт по выведению новой «породы» людей показывает, что нельзя безнаказанно экспериментировать с природой и менять Божий Промысел в угоду политическим целям. Детища подобных экспериментов способны уничтожить своих создателей.",5,1,4,4,2016,256,978-5-93673-201-3